EBNO,Mod,RateRS,RateConv,BerEst
2.7,2FSK,[223 255],'1/2',0
2.8,2FSK,[223 255],'1/2',0.0387518684603886
2.9,2FSK,[223 255],'1/2',0
3,2FSK,[223 255],'1/2',0.0328537618335825
3.1,2FSK,[223 255],'1/2',0
3.2,2FSK,[223 255],'1/2',0.0187406576980568
3.3,2FSK,[223 255],'1/2',0
3.4,2FSK,[223 255],'1/2',0.0088974304220941
3.5,2FSK,[223 255],'1/2',0
3.6,2FSK,[223 255],'1/2',0.00193289005721355
3.7,2FSK,[223 255],'1/2',0
3.8,2FSK,[223 255],'1/2',0.000435687076798027
3.9,2FSK,[223 255],'1/2',0
4,2FSK,[223 255],'1/2',0.000141849890608949
4.1,2FSK,[223 255],'1/2',0
4.2,2FSK,[223 255],'1/2',1.89874675885256e-05
4.3,2FSK,[223 255],'1/2',0
4.4,2FSK,[223 255],'1/2',2.64999109602992e-06
4.5,2FSK,[223 255],'1/2',0
4.6,2FSK,[223 255],'1/2',0
4.7,2FSK,[223 255],'1/2',0
4.8,2FSK,[223 255],'1/2',0
4.9,2FSK,[223 255],'1/2',0
5,2FSK,[223 255],'1/2',0
5.1,2FSK,[223 255],'1/2',0
5.2,2FSK,[223 255],'1/2',0
5.3,2FSK,[223 255],'1/2',0
5.4,2FSK,[223 255],'1/2',0
5.5,2FSK,[223 255],'1/2',0
5.6,2FSK,[223 255],'1/2',0
5.7,2FSK,[223 255],'1/2',0
5.8,2FSK,[223 255],'1/2',0
5.9,2FSK,[223 255],'1/2',0
6,2FSK,[223 255],'1/2',0
6.1,2FSK,[223 255],'1/2',0
6.2,2FSK,[223 255],'1/2',0
6.3,2FSK,[223 255],'1/2',0
6.4,2FSK,[223 255],'1/2',0
6.5,2FSK,[223 255],'1/2',0
6.6,2FSK,[223 255],'1/2',0
6.7,2FSK,[223 255],'1/2',0
6.8,2FSK,[223 255],'1/2',0
6.9,2FSK,[223 255],'1/2',0
7,2FSK,[223 255],'1/2',0
7.1,2FSK,[223 255],'1/2',0
7.2,2FSK,[223 255],'1/2',0
7.3,2FSK,[223 255],'1/2',0
7.4,2FSK,[223 255],'1/2',0
7.5,2FSK,[223 255],'1/2',0
7.6,2FSK,[223 255],'1/2',0
7.7,2FSK,[223 255],'1/2',0
