EBNO,Mod,RateRS,RateConv,BerEst
-10,MSK,[223 255],'1/2',0
-9.9,MSK,[223 255],'1/2',0.489630044843049
-9.8,MSK,[223 255],'1/2',0
-9.7,MSK,[223 255],'1/2',0.492432735426009
-9.6,MSK,[223 255],'1/2',0
-9.5,MSK,[223 255],'1/2',0.515695067264574
-9.4,MSK,[223 255],'1/2',0
-9.3,MSK,[223 255],'1/2',0.493553811659193
-9.2,MSK,[223 255],'1/2',0
-9.1,MSK,[223 255],'1/2',0.487668161434978
-9,MSK,[223 255],'1/2',0
-8.9,MSK,[223 255],'1/2',0.502522421524664
-8.8,MSK,[223 255],'1/2',0
-8.7,MSK,[223 255],'1/2',0.496356502242152
-8.6,MSK,[223 255],'1/2',0
-8.5,MSK,[223 255],'1/2',0.51177130044843
-8.4,MSK,[223 255],'1/2',0
-8.3,MSK,[223 255],'1/2',0.496076233183857
-8.2,MSK,[223 255],'1/2',0
-8.1,MSK,[223 255],'1/2',0.500840807174888
-8,MSK,[223 255],'1/2',0
-7.9,MSK,[223 255],'1/2',0.495795964125561
-7.8,MSK,[223 255],'1/2',0
-7.7,MSK,[223 255],'1/2',0.483464125560538
-7.6,MSK,[223 255],'1/2',0
-7.5,MSK,[223 255],'1/2',0.503923766816143
-7.4,MSK,[223 255],'1/2',0
-7.3,MSK,[223 255],'1/2',0.478699551569507
-7.2,MSK,[223 255],'1/2',0
-7.1,MSK,[223 255],'1/2',0.493834080717489
-7,MSK,[223 255],'1/2',0
-6.9,MSK,[223 255],'1/2',0.494955156950673
-6.8,MSK,[223 255],'1/2',0
-6.7,MSK,[223 255],'1/2',0.487387892376682
-6.6,MSK,[223 255],'1/2',0
-6.5,MSK,[223 255],'1/2',0.482343049327354
-6.4,MSK,[223 255],'1/2',0
-6.3,MSK,[223 255],'1/2',0.486266816143498
-6.2,MSK,[223 255],'1/2',0
-6.1,MSK,[223 255],'1/2',0.49859865470852
-6,MSK,[223 255],'1/2',0
-5.9,MSK,[223 255],'1/2',0.517096412556054
-5.8,MSK,[223 255],'1/2',0
-5.7,MSK,[223 255],'1/2',0.493553811659193
-5.6,MSK,[223 255],'1/2',0
-5.5,MSK,[223 255],'1/2',0.475336322869955
-5.4,MSK,[223 255],'1/2',0
-5.3,MSK,[223 255],'1/2',0.47085201793722
-5.2,MSK,[223 255],'1/2',0
-5.1,MSK,[223 255],'1/2',0.477578475336323
-5,MSK,[223 255],'1/2',0
-4.9,MSK,[223 255],'1/2',0.452914798206278
-4.8,MSK,[223 255],'1/2',0
-4.7,MSK,[223 255],'1/2',0.455717488789238
-4.6,MSK,[223 255],'1/2',0
-4.5,MSK,[223 255],'1/2',0.475896860986547
-4.4,MSK,[223 255],'1/2',0
-4.3,MSK,[223 255],'1/2',0.433856502242152
-4.2,MSK,[223 255],'1/2',0
-4.1,MSK,[223 255],'1/2',0.428531390134529
-4,MSK,[223 255],'1/2',0
-3.9,MSK,[223 255],'1/2',0.430773542600897
-3.8,MSK,[223 255],'1/2',0
-3.7,MSK,[223 255],'1/2',0.430493273542601
-3.6,MSK,[223 255],'1/2',0
-3.5,MSK,[223 255],'1/2',0.406390134529148
-3.4,MSK,[223 255],'1/2',0
-3.3,MSK,[223 255],'1/2',0.400784753363229
