EBNO,Mod,RateRS,RateConv,BerEst
-10,4FSK,[223 255],'1/2',0
-9.9,4FSK,[223 255],'1/2',0.496917040358744
-9.8,4FSK,[223 255],'1/2',0
-9.7,4FSK,[223 255],'1/2',0.50280269058296
-9.6,4FSK,[223 255],'1/2',0
-9.5,4FSK,[223 255],'1/2',0.489349775784753
-9.4,4FSK,[223 255],'1/2',0
-9.3,4FSK,[223 255],'1/2',0.514293721973094
-9.2,4FSK,[223 255],'1/2',0
-9.1,4FSK,[223 255],'1/2',0.483744394618834
-9,4FSK,[223 255],'1/2',0
-8.9,4FSK,[223 255],'1/2',0.496917040358744
-8.8,4FSK,[223 255],'1/2',0
-8.7,4FSK,[223 255],'1/2',0.505885650224215
-8.6,4FSK,[223 255],'1/2',0
-8.5,4FSK,[223 255],'1/2',0.498038116591928
-8.4,4FSK,[223 255],'1/2',0
-8.3,4FSK,[223 255],'1/2',0.518497757847534
-8.2,4FSK,[223 255],'1/2',0
-8.1,4FSK,[223 255],'1/2',0.499439461883408
-8,4FSK,[223 255],'1/2',0
-7.9,4FSK,[223 255],'1/2',0.498038116591928
-7.8,4FSK,[223 255],'1/2',0
-7.7,4FSK,[223 255],'1/2',0.517096412556054
-7.6,4FSK,[223 255],'1/2',0
-7.5,4FSK,[223 255],'1/2',0.492993273542601
-7.4,4FSK,[223 255],'1/2',0
-7.3,4FSK,[223 255],'1/2',0.511210762331839
-7.2,4FSK,[223 255],'1/2',0
-7.1,4FSK,[223 255],'1/2',0.496356502242152
-7,4FSK,[223 255],'1/2',0
-6.9,4FSK,[223 255],'1/2',0.505885650224215
-6.8,4FSK,[223 255],'1/2',0
-6.7,4FSK,[223 255],'1/2',0.51177130044843
-6.6,4FSK,[223 255],'1/2',0
-6.5,4FSK,[223 255],'1/2',0.504764573991031
-6.4,4FSK,[223 255],'1/2',0
-6.3,4FSK,[223 255],'1/2',0.493553811659193
-6.2,4FSK,[223 255],'1/2',0
-6.1,4FSK,[223 255],'1/2',0.492713004484305
-6,4FSK,[223 255],'1/2',0
-5.9,4FSK,[223 255],'1/2',0.484865470852018
-5.8,4FSK,[223 255],'1/2',0
-5.7,4FSK,[223 255],'1/2',0.507567264573991
-5.6,4FSK,[223 255],'1/2',0
-5.5,4FSK,[223 255],'1/2',0.492993273542601
-5.4,4FSK,[223 255],'1/2',0
-5.3,4FSK,[223 255],'1/2',0.513733183856502
-5.2,4FSK,[223 255],'1/2',0
-5.1,4FSK,[223 255],'1/2',0.506726457399103
-5,4FSK,[223 255],'1/2',0
-4.9,4FSK,[223 255],'1/2',0.48822869955157
-4.8,4FSK,[223 255],'1/2',0
-4.7,4FSK,[223 255],'1/2',0.476737668161435
-4.6,4FSK,[223 255],'1/2',0
-4.5,4FSK,[223 255],'1/2',0.510650224215247
-4.4,4FSK,[223 255],'1/2',0
-4.3,4FSK,[223 255],'1/2',0.489630044843049
-4.2,4FSK,[223 255],'1/2',0
-4.1,4FSK,[223 255],'1/2',0.485145739910314
-4,4FSK,[223 255],'1/2',0
-3.9,4FSK,[223 255],'1/2',0.492432735426009
-3.8,4FSK,[223 255],'1/2',0
-3.7,4FSK,[223 255],'1/2',0.484865470852018
-3.6,4FSK,[223 255],'1/2',0
-3.5,4FSK,[223 255],'1/2',0.487948430493274
-3.4,4FSK,[223 255],'1/2',0
-3.3,4FSK,[223 255],'1/2',0.487387892376682
-3.2,4FSK,[223 255],'1/2',0
-3.1,4FSK,[223 255],'1/2',0.494114349775785
-3,4FSK,[223 255],'1/2',0
-2.9,4FSK,[223 255],'1/2',0.48822869955157
-2.8,4FSK,[223 255],'1/2',0
-2.7,4FSK,[223 255],'1/2',0.494674887892377
-2.6,4FSK,[223 255],'1/2',0
-2.5,4FSK,[223 255],'1/2',0.500280269058296
-2.4,4FSK,[223 255],'1/2',0
-2.3,4FSK,[223 255],'1/2',0.509248878923767
-2.2,4FSK,[223 255],'1/2',0
-2.1,4FSK,[223 255],'1/2',0.495795964125561
-2,4FSK,[223 255],'1/2',0
-1.9,4FSK,[223 255],'1/2',0.473934977578475
-1.8,4FSK,[223 255],'1/2',0
-1.7,4FSK,[223 255],'1/2',0.474215246636771
-1.6,4FSK,[223 255],'1/2',0
-1.5,4FSK,[223 255],'1/2',0.48402466367713
-1.4,4FSK,[223 255],'1/2',0
-1.3,4FSK,[223 255],'1/2',0.473654708520179
-1.2,4FSK,[223 255],'1/2',0
-1.1,4FSK,[223 255],'1/2',0.46804932735426
-1,4FSK,[223 255],'1/2',0
-0.9,4FSK,[223 255],'1/2',0.458800448430493
-0.799999999999999,4FSK,[223 255],'1/2',0
-0.699999999999999,4FSK,[223 255],'1/2',0.428811659192825
-0.6,4FSK,[223 255],'1/2',0
-0.5,4FSK,[223 255],'1/2',0.478139013452915
-0.399999999999999,4FSK,[223 255],'1/2',0
-0.299999999999999,4FSK,[223 255],'1/2',0.447029147982063
-0.199999999999999,4FSK,[223 255],'1/2',0
-0.0999999999999996,4FSK,[223 255],'1/2',0.436659192825112
0,4FSK,[223 255],'1/2',0
0.100000000000001,4FSK,[223 255],'1/2',0.432735426008969
0.200000000000001,4FSK,[223 255],'1/2',0
0.300000000000001,4FSK,[223 255],'1/2',0.421804932735426
0.4,4FSK,[223 255],'1/2',0
0.5,4FSK,[223 255],'1/2',0.401065022421525
0.600000000000001,4FSK,[223 255],'1/2',0
0.700000000000001,4FSK,[223 255],'1/2',0.421804932735426
0.800000000000001,4FSK,[223 255],'1/2',0
0.9,4FSK,[223 255],'1/2',0.382567264573991
1,4FSK,[223 255],'1/2',0
1.1,4FSK,[223 255],'1/2',0.338284753363229
1.2,4FSK,[223 255],'1/2',0
1.3,4FSK,[223 255],'1/2',0.36042600896861
1.4,4FSK,[223 255],'1/2',0
1.5,4FSK,[223 255],'1/2',0.356502242152466
1.6,4FSK,[223 255],'1/2',0
1.7,4FSK,[223 255],'1/2',0.332679372197309
1.8,4FSK,[223 255],'1/2',0
1.9,4FSK,[223 255],'1/2',0.288116591928251
2,4FSK,[223 255],'1/2',0
2.1,4FSK,[223 255],'1/2',0.253923766816143
2.2,4FSK,[223 255],'1/2',0
2.3,4FSK,[223 255],'1/2',0.247010463378176
2.4,4FSK,[223 255],'1/2',0
2.5,4FSK,[223 255],'1/2',0.224775784753363
2.6,4FSK,[223 255],'1/2',0
2.7,4FSK,[223 255],'1/2',0.212817638266069
2.8,4FSK,[223 255],'1/2',0
2.9,4FSK,[223 255],'1/2',0.195440956651719
3,4FSK,[223 255],'1/2',0
3.1,4FSK,[223 255],'1/2',0.156109865470852
3.2,4FSK,[223 255],'1/2',0
3.3,4FSK,[223 255],'1/2',0.152045964125561
3.4,4FSK,[223 255],'1/2',0
3.5,4FSK,[223 255],'1/2',0.124215246636771
3.6,4FSK,[223 255],'1/2',0
3.7,4FSK,[223 255],'1/2',0.101644245142003
3.8,4FSK,[223 255],'1/2',0
3.9,4FSK,[223 255],'1/2',0.0920884048686739
4,4FSK,[223 255],'1/2',0
4.1,4FSK,[223 255],'1/2',0.070207399103139
4.2,4FSK,[223 255],'1/2',0
4.3,4FSK,[223 255],'1/2',0.0523848348960457
4.4,4FSK,[223 255],'1/2',0
4.5,4FSK,[223 255],'1/2',0.0475990284005979
4.6,4FSK,[223 255],'1/2',0
4.7,4FSK,[223 255],'1/2',0.0317638266068759
4.8,4FSK,[223 255],'1/2',0
4.9,4FSK,[223 255],'1/2',0.0193011958146487
5,4FSK,[223 255],'1/2',0
5.1,4FSK,[223 255],'1/2',0.0126557050323866
5.2,4FSK,[223 255],'1/2',0
5.3,4FSK,[223 255],'1/2',0.00264253683536195
5.4,4FSK,[223 255],'1/2',0
5.5,4FSK,[223 255],'1/2',0.000894400944656086
5.6,4FSK,[223 255],'1/2',0
5.7,4FSK,[223 255],'1/2',0.000143523471887288
5.8,4FSK,[223 255],'1/2',0
5.9,4FSK,[223 255],'1/2',4.31771010053769e-05
6,4FSK,[223 255],'1/2',0
6.1,4FSK,[223 255],'1/2',5.06998296485724e-06
6.2,4FSK,[223 255],'1/2',0
6.3,4FSK,[223 255],'1/2',7.5999744640858e-07
6.4,4FSK,[223 255],'1/2',0
6.5,4FSK,[223 255],'1/2',0
6.6,4FSK,[223 255],'1/2',0
6.7,4FSK,[223 255],'1/2',0
6.8,4FSK,[223 255],'1/2',0
6.9,4FSK,[223 255],'1/2',0
7,4FSK,[223 255],'1/2',0
7.1,4FSK,[223 255],'1/2',0
7.2,4FSK,[223 255],'1/2',0
7.3,4FSK,[223 255],'1/2',0
7.4,4FSK,[223 255],'1/2',0
7.5,4FSK,[223 255],'1/2',0
7.6,4FSK,[223 255],'1/2',0
7.7,4FSK,[223 255],'1/2',0
7.8,4FSK,[223 255],'1/2',0
7.9,4FSK,[223 255],'1/2',0
8,4FSK,[223 255],'1/2',0
8.1,4FSK,[223 255],'1/2',0
8.2,4FSK,[223 255],'1/2',0
8.3,4FSK,[223 255],'1/2',0
8.4,4FSK,[223 255],'1/2',0
8.5,4FSK,[223 255],'1/2',0
8.6,4FSK,[223 255],'1/2',0
8.7,4FSK,[223 255],'1/2',0
8.8,4FSK,[223 255],'1/2',0
8.9,4FSK,[223 255],'1/2',0
9,4FSK,[223 255],'1/2',0
9.1,4FSK,[223 255],'1/2',0
9.2,4FSK,[223 255],'1/2',0
9.3,4FSK,[223 255],'1/2',0
9.4,4FSK,[223 255],'1/2',0
9.5,4FSK,[223 255],'1/2',0
9.6,4FSK,[223 255],'1/2',0
9.7,4FSK,[223 255],'1/2',0
9.8,4FSK,[223 255],'1/2',0
9.9,4FSK,[223 255],'1/2',0
10,4FSK,[223 255],'1/2',0
10.1,4FSK,[223 255],'1/2',0
10.2,4FSK,[223 255],'1/2',0
10.3,4FSK,[223 255],'1/2',0
10.4,4FSK,[223 255],'1/2',0
10.5,4FSK,[223 255],'1/2',0
10.6,4FSK,[223 255],'1/2',0
10.7,4FSK,[223 255],'1/2',0
10.8,4FSK,[223 255],'1/2',0
10.9,4FSK,[223 255],'1/2',0
11,4FSK,[223 255],'1/2',0
11.1,4FSK,[223 255],'1/2',0
11.2,4FSK,[223 255],'1/2',0
11.3,4FSK,[223 255],'1/2',0
11.4,4FSK,[223 255],'1/2',0
11.5,4FSK,[223 255],'1/2',0
11.6,4FSK,[223 255],'1/2',0
11.7,4FSK,[223 255],'1/2',0
11.8,4FSK,[223 255],'1/2',0
11.9,4FSK,[223 255],'1/2',0
12,4FSK,[223 255],'1/2',0
12.1,4FSK,[223 255],'1/2',0
12.2,4FSK,[223 255],'1/2',0
12.3,4FSK,[223 255],'1/2',0
12.4,4FSK,[223 255],'1/2',0
12.5,4FSK,[223 255],'1/2',0
12.6,4FSK,[223 255],'1/2',0
12.7,4FSK,[223 255],'1/2',0
12.8,4FSK,[223 255],'1/2',0
12.9,4FSK,[223 255],'1/2',0
13,4FSK,[223 255],'1/2',0
13.1,4FSK,[223 255],'1/2',0
13.2,4FSK,[223 255],'1/2',0
13.3,4FSK,[223 255],'1/2',0
13.4,4FSK,[223 255],'1/2',0
13.5,4FSK,[223 255],'1/2',0
13.6,4FSK,[223 255],'1/2',0
13.7,4FSK,[223 255],'1/2',0
13.8,4FSK,[223 255],'1/2',0
13.9,4FSK,[223 255],'1/2',0
14,4FSK,[223 255],'1/2',0
14.1,4FSK,[223 255],'1/2',0
14.2,4FSK,[223 255],'1/2',0
14.3,4FSK,[223 255],'1/2',0
14.4,4FSK,[223 255],'1/2',0
14.5,4FSK,[223 255],'1/2',0
14.6,4FSK,[223 255],'1/2',0
14.7,4FSK,[223 255],'1/2',0
14.8,4FSK,[223 255],'1/2',0
14.9,4FSK,[223 255],'1/2',0
15,4FSK,[223 255],'1/2',0
15.1,4FSK,[223 255],'1/2',0
15.2,4FSK,[223 255],'1/2',0
15.3,4FSK,[223 255],'1/2',0
15.4,4FSK,[223 255],'1/2',0
15.5,4FSK,[223 255],'1/2',0
15.6,4FSK,[223 255],'1/2',0
15.7,4FSK,[223 255],'1/2',0
15.8,4FSK,[223 255],'1/2',0
15.9,4FSK,[223 255],'1/2',0
16,4FSK,[223 255],'1/2',0
16.1,4FSK,[223 255],'1/2',0
16.2,4FSK,[223 255],'1/2',0
16.3,4FSK,[223 255],'1/2',0
16.4,4FSK,[223 255],'1/2',0
16.5,4FSK,[223 255],'1/2',0
16.6,4FSK,[223 255],'1/2',0
16.7,4FSK,[223 255],'1/2',0
16.8,4FSK,[223 255],'1/2',0
16.9,4FSK,[223 255],'1/2',0
17,4FSK,[223 255],'1/2',0
17.1,4FSK,[223 255],'1/2',0
17.2,4FSK,[223 255],'1/2',0
17.3,4FSK,[223 255],'1/2',0
17.4,4FSK,[223 255],'1/2',0
17.5,4FSK,[223 255],'1/2',0
17.6,4FSK,[223 255],'1/2',0
17.7,4FSK,[223 255],'1/2',0
17.8,4FSK,[223 255],'1/2',0
17.9,4FSK,[223 255],'1/2',0
18,4FSK,[223 255],'1/2',0
18.1,4FSK,[223 255],'1/2',0
18.2,4FSK,[223 255],'1/2',0
18.3,4FSK,[223 255],'1/2',0
18.4,4FSK,[223 255],'1/2',0
18.5,4FSK,[223 255],'1/2',0
18.6,4FSK,[223 255],'1/2',0
18.7,4FSK,[223 255],'1/2',0
18.8,4FSK,[223 255],'1/2',0
18.9,4FSK,[223 255],'1/2',0
19,4FSK,[223 255],'1/2',0
19.1,4FSK,[223 255],'1/2',0
19.2,4FSK,[223 255],'1/2',0
19.3,4FSK,[223 255],'1/2',0
19.4,4FSK,[223 255],'1/2',0
19.5,4FSK,[223 255],'1/2',0
19.6,4FSK,[223 255],'1/2',0
19.7,4FSK,[223 255],'1/2',0
19.8,4FSK,[223 255],'1/2',0
19.9,4FSK,[223 255],'1/2',0
20,4FSK,[223 255],'1/2',0
-10,4FSK,[223 255],'2/3',0
-9.9,4FSK,[223 255],'2/3',0.498318385650224
-9.8,4FSK,[223 255],'2/3',0
-9.7,4FSK,[223 255],'2/3',0.505605381165919
-9.6,4FSK,[223 255],'2/3',0
-9.5,4FSK,[223 255],'2/3',0.500280269058296
-9.4,4FSK,[223 255],'2/3',0
-9.3,4FSK,[223 255],'2/3',0.499439461883408
-9.2,4FSK,[223 255],'2/3',0
-9.1,4FSK,[223 255],'2/3',0.506726457399103
-9,4FSK,[223 255],'2/3',0
-8.9,4FSK,[223 255],'2/3',0.493273542600897
-8.8,4FSK,[223 255],'2/3',0
-8.7,4FSK,[223 255],'2/3',0.498038116591928
-8.6,4FSK,[223 255],'2/3',0
-8.5,4FSK,[223 255],'2/3',0.485706278026906
-8.4,4FSK,[223 255],'2/3',0
-8.3,4FSK,[223 255],'2/3',0.504764573991031
-8.2,4FSK,[223 255],'2/3',0
-8.1,4FSK,[223 255],'2/3',0.494394618834081
-8,4FSK,[223 255],'2/3',0
-7.9,4FSK,[223 255],'2/3',0.492713004484305
-7.8,4FSK,[223 255],'2/3',0
-7.7,4FSK,[223 255],'2/3',0.50140134529148
-7.6,4FSK,[223 255],'2/3',0
-7.5,4FSK,[223 255],'2/3',0.510930493273543
-7.4,4FSK,[223 255],'2/3',0
-7.3,4FSK,[223 255],'2/3',0.482903587443946
-7.2,4FSK,[223 255],'2/3',0
-7.1,4FSK,[223 255],'2/3',0.49719730941704
-7,4FSK,[223 255],'2/3',0
-6.9,4FSK,[223 255],'2/3',0.496076233183857
-6.8,4FSK,[223 255],'2/3',0
-6.7,4FSK,[223 255],'2/3',0.499719730941704
-6.6,4FSK,[223 255],'2/3',0
-6.5,4FSK,[223 255],'2/3',0.509248878923767
-6.4,4FSK,[223 255],'2/3',0
-6.3,4FSK,[223 255],'2/3',0.499439461883408
-6.2,4FSK,[223 255],'2/3',0
-6.1,4FSK,[223 255],'2/3',0.505044843049327
-6,4FSK,[223 255],'2/3',0
-5.9,4FSK,[223 255],'2/3',0.486266816143498
-5.8,4FSK,[223 255],'2/3',0
-5.7,4FSK,[223 255],'2/3',0.500840807174888
-5.6,4FSK,[223 255],'2/3',0
-5.5,4FSK,[223 255],'2/3',0.498318385650224
-5.4,4FSK,[223 255],'2/3',0
-5.3,4FSK,[223 255],'2/3',0.504484304932735
-5.2,4FSK,[223 255],'2/3',0
-5.1,4FSK,[223 255],'2/3',0.499719730941704
-5,4FSK,[223 255],'2/3',0
-4.9,4FSK,[223 255],'2/3',0.51457399103139
-4.8,4FSK,[223 255],'2/3',0
-4.7,4FSK,[223 255],'2/3',0.48402466367713
-4.6,4FSK,[223 255],'2/3',0
-4.5,4FSK,[223 255],'2/3',0.493834080717489
-4.4,4FSK,[223 255],'2/3',0
-4.3,4FSK,[223 255],'2/3',0.489069506726457
-4.2,4FSK,[223 255],'2/3',0
-4.1,4FSK,[223 255],'2/3',0.511491031390135
-4,4FSK,[223 255],'2/3',0
-3.9,4FSK,[223 255],'2/3',0.49719730941704
-3.8,4FSK,[223 255],'2/3',0
-3.7,4FSK,[223 255],'2/3',0.506165919282511
-3.6,4FSK,[223 255],'2/3',0
-3.5,4FSK,[223 255],'2/3',0.511491031390135
-3.4,4FSK,[223 255],'2/3',0
-3.3,4FSK,[223 255],'2/3',0.500560538116592
-3.2,4FSK,[223 255],'2/3',0
-3.1,4FSK,[223 255],'2/3',0.487668161434978
-3,4FSK,[223 255],'2/3',0
-2.9,4FSK,[223 255],'2/3',0.498878923766816
-2.8,4FSK,[223 255],'2/3',0
-2.7,4FSK,[223 255],'2/3',0.489349775784753
-2.6,4FSK,[223 255],'2/3',0
-2.5,4FSK,[223 255],'2/3',0.51317264573991
-2.4,4FSK,[223 255],'2/3',0
-2.3,4FSK,[223 255],'2/3',0.501681614349776
-2.2,4FSK,[223 255],'2/3',0
-2.1,4FSK,[223 255],'2/3',0.479820627802691
-2,4FSK,[223 255],'2/3',0
-1.9,4FSK,[223 255],'2/3',0.497757847533632
-1.8,4FSK,[223 255],'2/3',0
-1.7,4FSK,[223 255],'2/3',0.491591928251121
-1.6,4FSK,[223 255],'2/3',0
-1.5,4FSK,[223 255],'2/3',0.489910313901345
-1.4,4FSK,[223 255],'2/3',0
-1.3,4FSK,[223 255],'2/3',0.499719730941704
-1.2,4FSK,[223 255],'2/3',0
-1.1,4FSK,[223 255],'2/3',0.474775784753363
-1,4FSK,[223 255],'2/3',0
-0.9,4FSK,[223 255],'2/3',0.505605381165919
-0.799999999999999,4FSK,[223 255],'2/3',0
-0.699999999999999,4FSK,[223 255],'2/3',0.457959641255605
-0.6,4FSK,[223 255],'2/3',0
-0.5,4FSK,[223 255],'2/3',0.478419282511211
-0.399999999999999,4FSK,[223 255],'2/3',0
-0.299999999999999,4FSK,[223 255],'2/3',0.48822869955157
-0.199999999999999,4FSK,[223 255],'2/3',0
-0.0999999999999996,4FSK,[223 255],'2/3',0.490751121076233
0,4FSK,[223 255],'2/3',0
0.100000000000001,4FSK,[223 255],'2/3',0.48542600896861
0.200000000000001,4FSK,[223 255],'2/3',0
0.300000000000001,4FSK,[223 255],'2/3',0.467769058295964
0.4,4FSK,[223 255],'2/3',0
0.5,4FSK,[223 255],'2/3',0.448150224215247
0.600000000000001,4FSK,[223 255],'2/3',0
0.700000000000001,4FSK,[223 255],'2/3',0.448991031390135
0.800000000000001,4FSK,[223 255],'2/3',0
0.9,4FSK,[223 255],'2/3',0.476737668161435
1,4FSK,[223 255],'2/3',0
1.1,4FSK,[223 255],'2/3',0.47085201793722
1.2,4FSK,[223 255],'2/3',0
1.3,4FSK,[223 255],'2/3',0.448150224215247
1.4,4FSK,[223 255],'2/3',0
1.5,4FSK,[223 255],'2/3',0.418161434977578
1.6,4FSK,[223 255],'2/3',0
1.7,4FSK,[223 255],'2/3',0.377242152466368
1.8,4FSK,[223 255],'2/3',0
1.9,4FSK,[223 255],'2/3',0.400504484304933
2,4FSK,[223 255],'2/3',0
2.1,4FSK,[223 255],'2/3',0.410033632286996
2.2,4FSK,[223 255],'2/3',0
2.3,4FSK,[223 255],'2/3',0.378923766816143
2.4,4FSK,[223 255],'2/3',0
2.5,4FSK,[223 255],'2/3',0.336322869955157
2.6,4FSK,[223 255],'2/3',0
2.7,4FSK,[223 255],'2/3',0.367993273542601
2.8,4FSK,[223 255],'2/3',0
2.9,4FSK,[223 255],'2/3',0.290639013452915
3,4FSK,[223 255],'2/3',0
3.1,4FSK,[223 255],'2/3',0.300448430493274
3.2,4FSK,[223 255],'2/3',0
3.3,4FSK,[223 255],'2/3',0.28335201793722
3.4,4FSK,[223 255],'2/3',0
3.5,4FSK,[223 255],'2/3',0.218609865470852
3.6,4FSK,[223 255],'2/3',0
3.7,4FSK,[223 255],'2/3',0.254110612855007
3.8,4FSK,[223 255],'2/3',0
3.9,4FSK,[223 255],'2/3',0.189461883408072
4,4FSK,[223 255],'2/3',0
4.1,4FSK,[223 255],'2/3',0.20160687593423
4.2,4FSK,[223 255],'2/3',0
4.3,4FSK,[223 255],'2/3',0.174607623318386
4.4,4FSK,[223 255],'2/3',0
4.5,4FSK,[223 255],'2/3',0.159893497757848
4.6,4FSK,[223 255],'2/3',0
4.7,4FSK,[223 255],'2/3',0.156530269058296
4.8,4FSK,[223 255],'2/3',0
4.9,4FSK,[223 255],'2/3',0.11457399103139
5,4FSK,[223 255],'2/3',0
5.1,4FSK,[223 255],'2/3',0.101737668161435
5.2,4FSK,[223 255],'2/3',0
5.3,4FSK,[223 255],'2/3',0.0827194106342088
5.4,4FSK,[223 255],'2/3',0
5.5,4FSK,[223 255],'2/3',0.0667040358744395
5.6,4FSK,[223 255],'2/3',0
5.7,4FSK,[223 255],'2/3',0.0576233183856502
5.8,4FSK,[223 255],'2/3',0
5.9,4FSK,[223 255],'2/3',0.0476457399103139
6,4FSK,[223 255],'2/3',0
6.1,4FSK,[223 255],'2/3',0.0383968609865471
6.2,4FSK,[223 255],'2/3',0
6.3,4FSK,[223 255],'2/3',0.0230493273542601
6.4,4FSK,[223 255],'2/3',0
6.5,4FSK,[223 255],'2/3',0.0144877543980683
6.6,4FSK,[223 255],'2/3',0
6.7,4FSK,[223 255],'2/3',0.00899530215673713
6.8,4FSK,[223 255],'2/3',0
6.9,4FSK,[223 255],'2/3',0.00313043691342596
7,4FSK,[223 255],'2/3',0
7.1,4FSK,[223 255],'2/3',0.00133963467313942
7.2,4FSK,[223 255],'2/3',0
7.3,4FSK,[223 255],'2/3',0.000392609915227356
7.4,4FSK,[223 255],'2/3',0
7.5,4FSK,[223 255],'2/3',9.30338815746936e-05
7.6,4FSK,[223 255],'2/3',0
7.7,4FSK,[223 255],'2/3',1.97333373465464e-05
7.8,4FSK,[223 255],'2/3',0
7.9,4FSK,[223 255],'2/3',4.83998373765464e-06
8,4FSK,[223 255],'2/3',0
8.1,4FSK,[223 255],'2/3',1.239995833614e-06
8.2,4FSK,[223 255],'2/3',0
8.3,4FSK,[223 255],'2/3',0
8.4,4FSK,[223 255],'2/3',0
8.5,4FSK,[223 255],'2/3',0
8.6,4FSK,[223 255],'2/3',0
8.7,4FSK,[223 255],'2/3',0
8.8,4FSK,[223 255],'2/3',0
8.9,4FSK,[223 255],'2/3',0
