EBNO,Mod,RateRS,RateConv,BerEst
-10,4FSK,[223 255],'1/2',0.493553811659193
-9.9,4FSK,[223 255],'1/2',0
-9.8,4FSK,[223 255],'1/2',0.505325112107623
-9.7,4FSK,[223 255],'1/2',0
-9.6,4FSK,[223 255],'1/2',0.488789237668161
-9.5,4FSK,[223 255],'1/2',0
-9.4,4FSK,[223 255],'1/2',0.513452914798206
-9.3,4FSK,[223 255],'1/2',0
-9.2,4FSK,[223 255],'1/2',0.48542600896861
-9.1,4FSK,[223 255],'1/2',0
-9,4FSK,[223 255],'1/2',0.493553811659193
-8.9,4FSK,[223 255],'1/2',0
-8.8,4FSK,[223 255],'1/2',0.505605381165919
-8.7,4FSK,[223 255],'1/2',0
-8.6,4FSK,[223 255],'1/2',0.5
-8.5,4FSK,[223 255],'1/2',0
-8.4,4FSK,[223 255],'1/2',0.51597533632287
-8.3,4FSK,[223 255],'1/2',0
-8.2,4FSK,[223 255],'1/2',0.497477578475336
-8.1,4FSK,[223 255],'1/2',0
-8,4FSK,[223 255],'1/2',0.496356502242152
-7.9,4FSK,[223 255],'1/2',0
-7.8,4FSK,[223 255],'1/2',0.510650224215247
-7.7,4FSK,[223 255],'1/2',0
-7.6,4FSK,[223 255],'1/2',0.496917040358744
-7.5,4FSK,[223 255],'1/2',0
-7.4,4FSK,[223 255],'1/2',0.507567264573991
-7.3,4FSK,[223 255],'1/2',0
-7.2,4FSK,[223 255],'1/2',0.501121076233184
-7.1,4FSK,[223 255],'1/2',0
-7,4FSK,[223 255],'1/2',0.497477578475336
-6.9,4FSK,[223 255],'1/2',0
-6.8,4FSK,[223 255],'1/2',0.515414798206278
-6.7,4FSK,[223 255],'1/2',0
-6.6,4FSK,[223 255],'1/2',0.507286995515695
-6.5,4FSK,[223 255],'1/2',0
-6.4,4FSK,[223 255],'1/2',0.483464125560538
-6.3,4FSK,[223 255],'1/2',0
-6.2,4FSK,[223 255],'1/2',0.492432735426009
-6.1,4FSK,[223 255],'1/2',0
-6,4FSK,[223 255],'1/2',0.492152466367713
-5.9,4FSK,[223 255],'1/2',0
